title,body,lecture_number,section_number,section_name,user_id,course_id
Hide The Module,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/portfolio_grid_prep"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/portfolio_grid_prep</a></p>",175,-,Section 33 - Portfolio Grid Prep,1,2
Category Model,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/portfolio_grid"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/portfolio_grid</a></p>",177,-,Section 34 - Portfolio Grid,1,2
Limit Log,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/potpourri_two_and_colors_custom"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/potpourri_two_and_colors_custom</a></p>",188,-,Section 35 - Potpourri Two,1,2
"Migration, Control, Seed","<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/potpourri_two_and_colors_custom"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/potpourri_two_and_colors_custom</a></p>",190,-,Section 36 - Colors and Custom,1,2
Updating Seed File,"<p><strong>Note:&nbsp; Just a couple of weeks after recording, Digital Ocean boosted the performace on all their droplets and so there is no need to ""scale up"" to the $10 version as I do in the upcoming videos.&nbsp; Feel free to leave the droplet set to the $5 version and you should be good to go.</strong></p>
 
 <p><strong>To get $10 free @ Digital Ocean&nbsp;<a href=""https://m.do.co/c/68fc0173ab04"" target=""_blank"" rel=""noopener"">https://m.do.co/c/68fc0173ab04</a></strong></p>
 
 <p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/second_nano_deploy"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/second_nano_deploy</a></p>",197,-,Section 38 - Deploy Part Two,1,2
Update Using Jquery,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/jquery"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/jquery</a></p>",199,-,Section 39 - JQuery,1,2
Setting Up,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/heroku_deploy"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/heroku_deploy</a></p>
 
 <p>Heroku&nbsp;<a href=""https://www.heroku.com/"" target=""_blank"" rel=""noopener"">https://www.heroku.com/</a></p>",204,-,Section 40 - Heroku Deploy,1,2
WYSIWYG Edit,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/deploy_with_tinymce"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/deploy_with_tinymce</a></p>
 
 <p>Tiny MCE WYSIWYG&nbsp;<a href=""https://github.com/spohlenz/tinymce-rails"" target=""_blank"" rel=""noopener"">https://github.com/spohlenz/tinymce-rails</a></p>",210,-,Section 41 - Potpourri Three,1,2
Kill The Server,"<p>To kill your rails server:</p>
 
 <p style=""padding-left: 30px;"">1. Open a new terminal</p>
 
 <p style=""padding-left: 30px;"">2. ""nanobox run""</p>
 
 <p style=""padding-left: 30px;"">3. go inside the tmp folder and look in pids open server.pid (you may need to refresh to see a file) open file</p>
 
 <p style=""padding-left: 30px;"">4. in the new nanobox terminal type <code>kill -9 xxxx</code> (xxxx = the number you see in the server.pid file)</p>
 
 <p>&nbsp;</p>
 
 <p><em>If that fails, stop nanobox ""nanobox stop"" and then run ""nanobox run"" to get things rolling again.</em></p>
 
 <p>&nbsp;</p>",211,-,Section 42 - Course Resources,1,2
Welcome,"<h2>Hello, and welcome to Rails For Beginners&nbsp;&nbsp;</h2>
 
 <p>I have tried to make the resources&nbsp;used in the course available here.&nbsp; If I have overlooked any, please reach out to me and I will add content as needed.</p>
 
 <p>If you want to join our group on Facebook&nbsp;<a href=""http://www.facebook.com/groups/1722657984689508/"" target=""_blank"" rel=""noopener"">http://www.facebook.com/groups/1722657984689508/</a></p>
 
 <p>I really hope you enjoy the course and I appreciate any feedback as it helps me improve the content as things get updated.</p>
 
 <p>Thanks so much for taking this course and I think you will find it helpful on your Ruby on Rails journey!</p>
 
 <p>&nbsp;</p>
 
 <p>all the best -Steve</p>
 
 <p>steve@chesnowitz.com</p>",1,-,Section 1 - Welcome,1,2
Create The Project,"<p>&nbsp;</p>
 
 <p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/action"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/action</a></p>",127,-,Section 23 - Project,1,2
Comment Order,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/template-auth"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/template-auth</a></p>",151,-,Section 27 - Order & Time,1,2
The Template Count,"<p>Git&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/tree/second_nano_deploy"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/tree/second_nano_deploy</a></p>",196,-,Section 37 - More Validation,1,2
Welcome!,"<h2>Hello, and welcome to Ruby For Beginners&nbsp;&nbsp;</h2>
 
 <p>I have tried to make the resources&nbsp;used in the course available here.&nbsp; If I have overlooked any, please reach out to me and I will add content as needed.</p>
 
 <p>If you want to join our group on Facebook&nbsp;<a href=""http://www.facebook.com/groups/1722657984689508/"" target=""_blank"" rel=""noopener"">http://www.facebook.com/groups/1722657984689508/</a></p>
 
 <p>I really hope you enjoy the course and I appreciate any feedback as it helps me improve the content as things get updated.</p>
 
 <p>Thanks so much for taking this course and I think you will find it helpful on your Ruby journey!</p>
 
 <p>&nbsp;</p>
 
 <p>all the best -Steve</p>
 
 <p>steve@chesnowitz.com</p>",1,-,Section 1 - The Set Up,1,1
Create Base App,"<p>Gist used in the video:&nbsp;<a href=""https://gist.github.com/schesnowitz/70732a7dd1c55204b4b2e7b2ab1f0ff1"" target=""_blank"" rel=""noopener"">https://gist.github.com/schesnowitz/70732a7dd1c55204b4b2e7b2ab1f0ff1</a></p>
 
 <p>Ruby:&nbsp;<a href=""https://www.ruby-lang.org/en/"" target=""_blank"" rel=""noopener"">https://www.ruby-lang.org/en/</a></p>
 
 <p>IDE Used:&nbsp;&nbsp;<a href=""https://aws.amazon.com/cloud9/?origin=c9io"" target=""_blank"" rel=""noopener"">https://aws.amazon.com/cloud9/?origin=c9io</a></p>
 
 <p>Postgresql commands:&nbsp;<a href=""https://gist.github.com/schesnowitz/28ad4153ec1bdef4ad666b73d35266a8"" target=""_blank"" rel=""noopener"">https://gist.github.com/schesnowitz/28ad4153ec1bdef4ad666b73d35266a8</a></p>
 
 <p>Ruby Version Manager:&nbsp;<a href=""https://rvm.io/"" target=""_blank"" rel=""noopener"">https://rvm.io/</a></p>
 
 <p>App created in this video:&nbsp;<a href=""https://github.com/schesnowitz/rails-app"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-app</a></p>
 
 <p>&nbsp;</p>",7,-,Section 2 - The Set Up,1,2
Configure Production,"<p>Boxfile:&nbsp;<a href=""https://github.com/schesnowitz/rails-beginners-app/blob/first_nano_deploy/boxfile.yml"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/rails-beginners-app/blob/first_nano_deploy/boxfile.yml</a></p>",155,-,Section 29 - Deploy,1,2
No Need To Scale,"<div class=""asset-container"" style=""box-sizing: border-box; width: 650px; height: 195px; position: relative; top: 0px; left: 0px; overflow: hidden;"" data-reactroot="""">
 
 <div class=""asset-container__padding article-view"" style=""box-sizing: border-box; padding: 15px;"">
 
 <div class=""w3c-default"" style=""box-sizing: border-box;"">
 
 <p style=""box-sizing: border-box; margin: 0px 0px 20px; font-size: 18px;""><strong style=""box-sizing: border-box; font-weight: bold;"">Just a couple of weeks after recording, Digital Ocean boosted the performance&nbsp;on all their droplets and so there is no need to ""scale up"" to the $10 version as I do in the upcoming video.&nbsp; Feel free to leave the droplet set to the $5 version and you should be good to go.</strong></p>
 
 <p style=""box-sizing: border-box; margin: 0px 0px 20px; font-size: 18px;""><strong style=""box-sizing: border-box; font-weight: bold;"">To get $10 free @ Digital Ocean&nbsp;<a style=""box-sizing: border-box; background-color: transparent; text-decoration: none; color: #007791; font-weight: 400;"" href=""https://m.do.co/c/68fc0173ab04"" target=""_blank"" rel=""noopener"">https://m.do.co/c/68fc0173ab04</a></strong></p>
 
 </div>
 
 </div>
 
 </div>",156,-,Section 29 - Deploy,1,2
